"pagename","pageviewcount","datetime"
Mail.ru,184,2025-02-17 12:00:00.000
ВКонтакте,1260,2025-02-18 12:00:00.000
Яндекс,1559,2025-02-18 12:00:00.000
Mail.ru,168,2025-02-18 12:00:00.000
ВКонтакте,793,2025-02-19 12:00:00.000
Яндекс,1580,2025-02-19 12:00:00.000
Mail.ru,210,2025-02-19 12:00:00.000
ВКонтакте,582,2025-02-20 12:00:00.000
Яндекс,1409,2025-02-20 12:00:00.000
Mail.ru,156,2025-02-20 12:00:00.000
ВКонтакте,911,2025-02-21 12:00:00.000
Яндекс,1597,2025-02-21 12:00:00.000
Mail.ru,128,2025-02-21 12:00:00.000
ВКонтакте,798,2025-02-22 12:00:00.000
Яндекс,1164,2025-02-22 12:00:00.000
Mail.ru,75,2025-02-22 12:00:00.000
ВКонтакте,373,2025-02-23 12:00:00.000
Яндекс,1143,2025-02-23 12:00:00.000
Mail.ru,125,2025-02-23 12:00:00.000
ВКонтакте,808,2025-02-24 12:00:00.000
Яндекс,1841,2025-02-24 12:00:00.000
Mail.ru,168,2025-02-24 12:00:00.000
ВКонтакте,438,2025-02-25 12:00:00.000
Яндекс,1683,2025-02-25 12:00:00.000
Mail.ru,130,2025-02-25 12:00:00.000
ВКонтакте,603,2025-02-26 12:00:00.000
Яндекс,1365,2025-02-26 12:00:00.000
Mail.ru,143,2025-02-26 12:00:00.000
ВКонтакте,586,2025-02-27 12:00:00.000
Яндекс,1631,2025-02-27 12:00:00.000
Mail.ru,125,2025-02-27 12:00:00.000
ВКонтакте,380,2025-02-28 12:00:00.000
Яндекс,1629,2025-02-28 12:00:00.000
Mail.ru,164,2025-02-28 12:00:00.000
ВКонтакте,734,2025-03-01 12:00:00.000
Яндекс,1514,2025-03-01 12:00:00.000
Mail.ru,64,2025-03-01 12:00:00.000
ВКонтакте,757,2025-03-02 12:00:00.000
Яндекс,1379,2025-03-02 12:00:00.000
Mail.ru,84,2025-03-02 12:00:00.000
ВКонтакте,609,2025-03-03 12:00:00.000
Яндекс,1702,2025-03-03 12:00:00.000
Mail.ru,172,2025-03-03 12:00:00.000
ВКонтакте,692,2025-03-04 12:00:00.000
Яндекс,1609,2025-03-04 12:00:00.000
Mail.ru,214,2025-03-04 12:00:00.000
ВКонтакте,700,2025-03-05 12:00:00.000
Яндекс,1318,2025-03-05 12:00:00.000
Mail.ru,175,2025-03-05 12:00:00.000
ВКонтакте,422,2025-03-06 12:00:00.000
Яндекс,1425,2025-03-06 12:00:00.000
Mail.ru,284,2025-03-06 12:00:00.000
ВКонтакте,615,2025-03-07 12:00:00.000
Яндекс,1489,2025-03-07 12:00:00.000
Mail.ru,128,2025-03-07 12:00:00.000
ВКонтакте,297,2025-03-08 12:00:00.000
Яндекс,1146,2025-03-08 12:00:00.000
Mail.ru,50,2025-03-08 12:00:00.000
ВКонтакте,163,2025-03-09 12:00:00.000
Яндекс,1400,2025-03-09 12:00:00.000
Mail.ru,62,2025-03-09 12:00:00.000
ВКонтакте,337,2025-03-10 12:00:00.000
Яндекс,1522,2025-03-10 12:00:00.000
Mail.ru,144,2025-03-10 12:00:00.000
ВКонтакте,310,2025-03-11 12:00:00.000
Яндекс,1211,2025-03-11 12:00:00.000
Mail.ru,145,2025-03-11 12:00:00.000
ВКонтакте,305,2025-03-12 12:00:00.000
Яндекс,1423,2025-03-12 12:00:00.000
Mail.ru,124,2025-03-12 12:00:00.000
ВКонтакте,272,2025-03-13 12:00:00.000
Яндекс,1467,2025-03-13 12:00:00.000
Mail.ru,106,2025-03-13 12:00:00.000
ВКонтакте,325,2025-03-14 12:00:00.000
Яндекс,1402,2025-03-14 12:00:00.000
Mail.ru,94,2025-03-14 12:00:00.000
ВКонтакте,269,2025-03-15 12:00:00.000
Яндекс,931,2025-03-15 12:00:00.000
Mail.ru,62,2025-03-15 12:00:00.000
ВКонтакте,222,2025-03-16 12:00:00.000
Яндекс,1227,2025-03-16 12:00:00.000
Mail.ru,70,2025-03-16 12:00:00.000
ВКонтакте,258,2025-03-17 12:00:00.000
Яндекс,1226,2025-03-17 12:00:00.000
Mail.ru,132,2025-03-17 12:00:00.000
ВКонтакте,318,2025-03-18 12:00:00.000
Яндекс,1103,2025-03-18 12:00:00.000
Mail.ru,125,2025-03-18 12:00:00.000
ВКонтакте,265,2025-03-19 12:00:00.000
Яндекс,804,2025-03-19 12:00:00.000
Mail.ru,99,2025-03-19 12:00:00.000
